,Pressure,Temperature,Phase,Mass,S,H,V,Cp,Vis,Structure,Formula,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#
0,2000.00,1573.15,liquid_0,99.568002,274.433363,-1188506.934848,36.788863,148.788498,2.007,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1568.15,liquid_0,99.568002,273.959710,-1189250.877351,36.776878,148.788503,2.027,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1563.15,liquid_0,99.568002,273.484544,-1189994.819880,36.764892,148.788508,2.047,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1558.15,liquid_0,99.568002,273.007856,-1190738.762433,36.752908,148.788513,2.067,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1553.15,liquid_0,99.568002,272.529636,-1191482.705012,36.740924,148.788518,2.088,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1548.15,liquid_0,99.568002,272.049874,-1192226.647616,36.728940,148.788523,2.108,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1543.15,liquid_0,99.568002,271.568559,-1192970.590244,36.716957,148.788528,2.129,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1538.15,liquid_0,99.568002,271.085683,-1193714.532898,36.704975,148.788533,2.149,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1533.15,liquid_0,99.568002,270.601235,-1194458.475577,36.692992,148.788538,2.170,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1528.15,liquid_0,99.568002,270.115204,-1195202.418281,36.681011,148.788543,2.191,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1523.15,liquid_0,99.568002,269.627580,-1195946.361010,36.669030,148.788548,2.212,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1518.15,liquid_0,99.568002,269.138353,-1196690.303765,36.657049,148.788553,2.234,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
0,2000.00,1513.15,liquid_0,99.568002,268.647511,-1197434.246545,36.645069,148.788558,2.255,,,50.689,1.68729,14.7638,10.4753,0.184798,7.61289,11.4394,2.80211,0.160694,0.184798,56.4
